	7
"For	1
"Our	1
"There	1
(HDFS).	1
400-plus	1
A	1
According	1
Advisory	2
Apache	1
As	1
BlueData	2
Board	2
Company,	1
Configuration	1
D.C.-based	1
DevOps	1
DevOps-oriented	1
Distributed	1
Docker	1
EPIC	1
File	1
For	1
Hadoop	3
He	2
Ramesh	1
SQL	1
Software's	1
Spark	7
Such	1
System	1
The	1
Thyagarajan	1
Thyagarajan,	2
To	2
Washington,	1
Zeppelin	1
a	9
about	1
agility	2
alike.	1
all	2
an	1
analysts,	1
analysts.	1
analytics	3
and	12
applications,	1
applying	1
apps	1
architecture	1
are	2
as	5
basically	1
been	1
better	1
big	5
block.	1
bring	2
built	2
business	5
by	2
can	1
capabilities	1
centralization	1
cluster	1
cluster,"	1
clusters	2
complexity	2
components.	1
configurations	2
consulting	1
container	1
container-based	1
containers	1
could	1
creating	1
curated	1
custom-configured	1
data	10
data.	2
days	1
deployment	1
deployments.	2
developer	1
director	1
don't	1
each	1
efforts	1
emphasizing	1
enabling	1
engine,	1
environment	1
fail	1
faster	1
firm	1
for	5
framework	1
from	1
grapple	1
has	1
have	1
he	2
healthcare	1
his	1
important.	1
in	1
individuals	1
innovation,"	1
into	2
is	5
it	2
it's	1
its	2
key	1
larger	1
lone	1
long	1
managing	1
many,	1
meant	1
microservices	1
need,"	1
new	2
no	1
notebooks.	1
obstacle	1
of	3
off	1
often	1
on	1
on-demand	2
operational	1
or	2
organizations.	1
other	1
own	2
pilot	1
platform	2
platform's	1
pool.	1
problem,	1
projects	1
prototype	1
provides	2
quest	1
recreate,	1
required	1
result,	1
road	1
run	1
said	3
said,	1
said.	1
science	2
scientist	1
scientists	2
services	1
set	1
sew	1
shared	1
shielded	1
single	1
small	1
software	1
some	1
sometimes	1
source	1
spin-ups	1
stakeholders	1
stumble	1
stumbling	1
style	1
such	2
supported	1
take	1
team	1
teams	3
techniques	1
technology	1
that	1
the	10
their	2
then	1
they	2
time	1
to	12
together	1
tools,	1
try	1
turn	1
underlying	1
up	1
us	1
us,	1
user	1
users	1
users,	1
using	1
versions,	1
views	1
wait	1
want	1
way	1
we	1
weeks	1
well	1
when	2
who	1
wider	1
with	3
work	2
